iter	Passed	Remaining
618	9057	20208
619	9072	20193
620	9086	20177
621	9101	20162
622	9115	20146
623	9129	20130
624	9142	20114
625	9157	20100
626	9172	20085
627	9186	20070
628	9201	20055
629	9215	20040
630	9229	20024
631	9243	20008
632	9257	19992
633	9271	19977
634	9288	19966
635	9302	19951
636	9317	19936
637	9331	19920
638	9345	19904
639	9359	19889
640	9374	19874
641	9387	19857
642	9402	19842
643	9416	19827
644	9430	19812
645	9446	19800
646	9461	19786
647	9476	19772
648	9490	19756
649	9504	19739
650	9518	19724
651	9533	19710
652	9547	19694
653	9562	19679
654	9578	19667
655	9592	19653
656	9606	19636
657	9621	19622
658	9673	19683
659	9687	19669
660	9702	19654
661	9717	19641
662	9733	19628
663	9748	19613
664	9762	19599
665	9778	19586
666	9794	19574
667	9809	19560
668	9823	19543
669	9839	19531
670	9853	19516
671	9868	19501
672	9882	19485
673	9896	19470
674	9911	19455
675	9926	19442
676	9940	19426
677	9955	19411
678	9969	19395
679	9983	19379
680	9997	19363
681	10012	19348
682	10027	19335
683	10042	19320
684	10058	19309
685	10074	19296
686	10089	19282
687	10106	19272
688	10120	19257
689	10135	19242
690	10149	19227
691	10164	19212
692	10178	19197
693	10195	19185
694	10209	19170
695	10224	19155
696	10239	19141
697	10253	19126
698	10268	19111
699	10285	19101
700	10300	19086
701	10314	19070
702	10329	19056
703	10343	19041
704	10357	19024
705	10371	19010
706	10386	18995
707	10399	18978
708	10413	18961
709	10428	18947
710	10443	18934
711	10458	18919
712	10473	18905
713	10488	18890
714	10502	18875
715	10517	18860
716	10532	18847
717	10547	18833
718	10563	18820
719	10578	18806
720	10593	18791
721	10608	18777
722	10622	18761
723	10636	18746
724	10650	18730
725	10665	18716
726	10679	18700
727	10694	18685
728	10708	18670
729	10723	18655
730	10738	18641
731	10752	18626
732	10767	18610
733	10781	18595
734	10796	18581
735	10811	18567
736	10826	18552
737	10840	18538
738	10855	18523
739	10869	18507
740	10883	18492
741	10897	18475
742	10912	18462
743	10927	18447
744	10941	18431
745	10955	18416
746	10971	18402
747	10985	18387
748	11000	18373
749	11015	18359
750	11030	18344
751	11046	18333
752	11062	18319
753	11076	18304
754	11091	18289
755	11105	18274
756	11119	18258
757	11134	18243
758	11148	18227
759	11162	18212
760	11176	18196
761	11190	18181
762	11203	18164
763	11217	18147
764	11232	18133
765	11246	18118
766	11263	18107
767	11278	18093
768	11293	18077
769	11307	18062
770	11321	18047
771	11336	18031
772	11350	18016
773	11364	18001
774	11379	17986
775	11393	17971
776	11408	17957
777	11436	17963
778	11450	17947
779	11468	17937
780	11482	17922
781	11496	17906
782	11511	17892
783	11526	17878
784	11541	17862
785	11555	17848
786	11569	17831
787	11583	17816
788	11597	17800
789	11611	17784
790	11625	17769
791	11640	17754
792	11654	17738
793	11667	17722
794	11681	17706
795	11697	17692
796	11711	17678
797	11726	17662
798	11741	17648
799	11755	17632
800	11770	17618
801	11787	17607
802	11802	17593
803	11817	17578
804	11833	17566
805	11849	17553
806	11863	17537
807	11877	17522
808	11893	17509
809	11909	17496
810	11925	17484
811	11939	17468
812	11954	17454
813	11968	17438
814	11982	17422
815	11997	17408
816	12013	17394
817	12030	17383
818	12047	17373
819	12062	17358
820	12076	17342
821	12090	17326
822	12104	17311
823	12118	17295
824	12133	17280
825	12147	17265
826	12164	17253
827	12178	17238
828	12194	17225
829	12211	17213
830	12225	17197
831	12239	17182
832	12254	17168
833	12272	17157
834	12286	17142
835	12300	17126
836	12315	17111
837	12329	17096
838	12343	17081
839	12358	17065
840	12372	17050
841	12387	17036
842	12401	17020
843	12416	17007
844	12432	16994
845	12448	16980
846	12462	16964
847	12476	16949
848	12491	16935
849	12506	16920
850	12521	16906
851	12535	16890
852	12550	16875
853	12564	16860
854	12579	16845
855	12595	16832
856	12610	16818
857	12625	16804
858	12641	16791
859	12655	16776
860	12671	16762
861	12685	16747
862	12701	16734
863	12715	16719
864	12730	16704
865	12745	16689
866	12760	16675
867	12776	16661
868	12791	16647
869	12805	16632
870	12820	16617
871	12835	16603
872	12852	16591
873	12866	16576
874	12881	16561
875	12895	16546
876	12911	16532
877	12926	16519
878	12941	16504
879	12956	16489
880	12970	16474
881	12984	16459
882	12999	16444
883	13013	16428
884	13027	16413
885	13041	16397
886	13055	16381
887	13068	16365
888	13083	16350
889	13097	16335
890	13113	16321
891	13128	16307
892	13141	16290
893	13155	16274
894	13168	16258
895	13182	16243
896	13196	16227
